
classes:   0%|          | 0/3423 [00:00<?, ?it/s]
classes:  30%|###       | 1042/3423 [11:48<1:11:50,  1.81s/it]
classes:  30%|###       | 1043/3423 [11:49<1:12:13,  1.82s/it]
classes:  30%|###       | 1044/3423 [11:51<1:11:08,  1.79s/it]
classes:  31%|###       | 1045/3423 [11:53<1:15:10,  1.90s/it]
classes:  31%|###       | 1046/3423 [11:55<1:18:10,  1.97s/it]
classes:  31%|###       | 1047/3423 [11:57<1:17:29,  1.96s/it]
classes:  31%|###       | 1048/3423 [11:59<1:19:12,  2.00s/it]
classes:  31%|###       | 1049/3423 [12:01<1:18:47,  1.99s/it]
classes:  31%|###       | 1050/3423 [12:03<1:16:38,  1.94s/it]
classes:  31%|###       | 1051/3423 [12:05<1:11:54,  1.82s/it]
classes:  31%|###       | 1052/3423 [12:07<1:12:59,  1.85s/it]
classes:  31%|###       | 1053/3423 [12:09<1:14:07,  1.88s/it]
classes:  31%|###       | 1054/3423 [12:11<1:16:23,  1.93s/it]
classes:  31%|###       | 1055/3423 [12:13<1:15:54,  1.92s/it]
classes:  31%|###       | 1056/3423 [12:15<1:17:37,  1.97s/it]
classes:  31%|###       | 1057/3423 [12:17<1:18:39,  1.99s/it]
classes:  31%|###       | 1058/3423 [12:19<1:17:16,  1.96s/it]
classes:  31%|###       | 1059/3423 [12:21<1:20:51,  2.05s/it]
classes:  31%|###       | 1060/3423 [12:22<1:15:10,  1.91s/it]
classes:  31%|###       | 1061/3423 [12:27<1:43:33,  2.63s/it]
classes:  31%|###1      | 1062/3423 [12:29<1:33:31,  2.38s/it]
classes:  31%|###1      | 1063/3423 [12:30<1:25:53,  2.18s/it]
classes:  31%|###1      | 1064/3423 [12:32<1:21:17,  2.07s/it]
classes:  31%|###1      | 1065/3423 [12:34<1:15:46,  1.93s/it]
classes:  31%|###1      | 1066/3423 [12:36<1:15:24,  1.92s/it]
classes:  31%|###1      | 1067/3423 [12:37<1:13:06,  1.86s/it]
classes:  31%|###1      | 1068/3423 [12:39<1:16:10,  1.94s/it]
classes:  31%|###1      | 1069/3423 [12:41<1:12:42,  1.85s/it]
classes:  31%|###1      | 1070/3423 [12:43<1:10:52,  1.81s/it]
classes:  31%|###1      | 1071/3423 [12:45<1:12:39,  1.85s/it]
classes:  31%|###1      | 1072/3423 [12:47<1:13:17,  1.87s/it]
classes:  31%|###1      | 1073/3423 [12:49<1:15:00,  1.91s/it]
classes:  31%|###1      | 1074/3423 [12:51<1:17:55,  1.99s/it]
classes:  31%|###1      | 1075/3423 [12:53<1:21:42,  2.09s/it]
classes:  31%|###1      | 1076/3423 [12:55<1:23:32,  2.14s/it]
classes:  31%|###1      | 1077/3423 [12:58<1:23:07,  2.13s/it]
classes:  31%|###1      | 1078/3423 [13:00<1:22:03,  2.10s/it]
classes:  32%|###1      | 1079/3423 [13:04<1:48:59,  2.79s/it]
classes:  32%|###1      | 1080/3423 [13:06<1:43:13,  2.64s/it]
classes:  32%|###1      | 1081/3423 [13:08<1:35:32,  2.45s/it]
classes:  32%|###1      | 1082/3423 [13:10<1:27:38,  2.25s/it]
classes:  32%|###1      | 1083/3423 [13:12<1:24:18,  2.16s/it]
classes:  32%|###1      | 1084/3423 [13:14<1:17:52,  2.00s/it]
classes:  32%|###1      | 1085/3423 [13:15<1:16:08,  1.95s/it]
classes:  32%|###1      | 1086/3423 [13:18<1:17:48,  2.00s/it]
